Iteration,timestamp,client_keygen_s,client_enc_s,client_dec_s,server_enc_s,server_dec_s,server_sign_s,final_key_hex
1,1764562478.6778271,0.000824142,0.000049962,0.000038321,0.000038511,0.000108310,0.000518578,19472752bf43af52aa8e11216aea2bb2f676e1f20d32c7c98d264abf5d3beb66
2,1764562478.6805923,0.000031739,0.000018354,0.000078364,0.000029415,0.000066603,0.000092791,40efd50da7fb4445c33bda9295b010c1a064ef9e0a898bdb936cf541647063a1
3,1764562478.6828423,0.000042568,0.000023143,0.000032200,0.000022953,0.000045034,0.000046075,d430146e7a59e81a937fa452e0bca53afa934129bd28c77aa13b4259cea84c32
4,1764562478.6847858,0.000028252,0.000016721,0.000084096,0.000022852,0.000043020,0.000046156,3872130db5e3a93bb50b28131d73744fcee49ebc62a48c20981e77dddcc1545a
5,1764562478.6877975,0.000050353,0.000031708,0.000034874,0.000027500,0.000053328,0.000088544,dcab880feabbfff13c66254e0ecbefb4cef77bd44f4e64e34ebf28cb4ebcceb1
6,1764562478.6898744,0.000041988,0.000023143,0.000025527,0.000029344,0.000039463,0.000056294,e6323c5c5892864eade5777258d1960b5f29a012da29314638e14d9d87bc7b9a
7,1764562478.6916091,0.000027291,0.000017182,0.000032410,0.000021509,0.000033191,0.000042638,9d8b7e24011fb18a723b44dd74e3aef1c6987d1c9b1cb160b069f7eda1f17b24
8,1764562478.6937892,0.000027761,0.000017723,0.000039613,0.000041456,0.000066803,0.000092551,0a06eb741cead607e7fe85c737c14420e4ffc2a323fe1b003a42e271fb2e4e74
9,1764562478.6954367,0.000033232,0.000019316,0.000024896,0.000021370,0.000032941,0.000057306,021934172d0e49b4b36cd2f285d54508277214cf885b02a515d676465dcb7286
10,1764562478.6967034,0.000021991,0.000015869,0.000023273,0.000018704,0.000028623,0.000037640,8da230762f6bf453602b809e7ca2a02477d865aced9b94f33ab0c0a5049d5ab7
11,1764562478.698098,0.000021380,0.000015880,0.000033923,0.000016842,0.000024154,0.000036677,22a05f04277953870fe0968f652292e9136b8132adfc410e4f320f2e4df94fb9
12,1764562478.6993606,0.000026639,0.000019566,0.000022081,0.000018113,0.000022953,0.000036237,007d8239a42cfc98ccd0a834494ef0363a7dc067e0832ac3107ccc8e567fcb2a
13,1764562478.700626,0.000022011,0.000015088,0.000023394,0.000018464,0.000023844,0.000042008,45d73e83b6ea2d518d41435980e4e72a7a4b0f49b0b24799f92ceb525001cea4
14,1764562478.702295,0.000025286,0.000015759,0.000023624,0.000017924,0.000024916,0.000038602,e4cdb60f1eebcf0a8d1c38ba0d855129ad08e346128d773fcfb0d1f19cc7acda
15,1764562478.7064602,0.000024205,0.000015579,0.000049642,0.000041447,0.000143696,0.000280188,a7550b1c9b0996fe3b02bd4a5c36d237f1e9e01e022429b7c624455145c33120
16,1764562478.7091942,0.000043280,0.000030687,0.000041406,0.000040835,0.000071562,0.000059270,89ae0dbe62f89d36cf6296230c40d5b35ee5dc507c039ca3488d08cffe247989
17,1764562478.7113755,0.000032019,0.000017162,0.000027932,0.000029524,0.000065691,0.000054570,5f43744b1d1cf723ebc3ce073f8fe0e3518c69887de4ffa043fc5a58b027fe4c
18,1764562478.712797,0.000025467,0.000015569,0.000021079,0.000018905,0.000029645,0.000040194,72e1d374676bd31e7c8c44af41649e569c79d070792c5100a7ad1329bbd16953
19,1764562478.7140949,0.000022742,0.000015649,0.000026779,0.000017443,0.000023483,0.000036146,5479cb5aade7558616c7e3d463b0d5f714cb5e92cac0dcab9c20aa2b5a0c5fa2
20,1764562478.7152722,0.000022382,0.000015449,0.000019576,0.000018684,0.000022282,0.000034654,90d0094df43c51436cd2aea9daa6ca974dc752e191cd555477e3274ce355f45c
21,1764562478.716411,0.000021891,0.000014737,0.000018915,0.000021891,0.000020187,0.000034203,d0fd47f775f1a55c712f1e643f449156a4ea1cc2a439082af547a5013c520fe5
22,1764562478.7176123,0.000020768,0.000015539,0.000019085,0.000017302,0.000021640,0.000033883,5ed79dcbda58839dd80641587f17bf88f3a15e17b87cb8db0a5c45bc9d1c1a86
23,1764562478.7194512,0.000020207,0.000014477,0.000019797,0.000032740,0.000075188,0.000056064,710d3d1c7b90fc21eb2ad3d206b9dcc0a078845b5cd1f34e63fecc15e2578480
24,1764562478.7205348,0.000019636,0.000013926,0.000018444,0.000016320,0.000020658,0.000033312,b76ca29247149fd4dba24c5993c740fbc772381dd411ffcbc8f6bc84e06d832a
25,1764562478.7217338,0.000019516,0.000014347,0.000020157,0.000016000,0.000020057,0.000032570,f26403a560934b5d0004972f035570de8ae711be540f778b8a13439a0505486a
26,1764562478.72309,0.000024506,0.000015098,0.000020177,0.000022782,0.000068497,0.000038761,4c8875086167b2f67840827835e82bba4533e1feaa09609792edd7ae8987d944
27,1764562478.724222,0.000020508,0.000014627,0.000047488,0.000026880,0.000019516,0.000033291,8ab37639ec97cb0f0e35fedf311918b43ead10cafa18a1b19f314cf4deb562b7
28,1764562478.7252944,0.000020207,0.000014206,0.000018955,0.000015990,0.000019977,0.000033071,d22135d7a45ade79faff31127bbdb94cc34f1a13e7edf188a1c4c8aa947c586f
29,1764562478.7263408,0.000019957,0.000014196,0.000018875,0.000015379,0.000019235,0.000032981,b823f3bafe338ad18fc38214a1d3cbe899f0e837ab1fe2297e569991b36be726
30,1764562478.7273967,0.000019766,0.000014196,0.000018684,0.000015468,0.000018925,0.000033111,62189c5a97ba4fe518022be8da0cdd25614505d70dd3240132421e7e70f3ece7
31,1764562478.7289932,0.000019175,0.000014938,0.000033382,0.000025136,0.000041737,0.000047057,af6676cfda0cf5dc71583ceee48789ccc72397a93df28f3dd717aa339f31debe
32,1764562478.7302847,0.000025437,0.000015077,0.000021400,0.000017442,0.000026188,0.000035526,0b7b7605d676a74891f472f3e31f19f5b70b2a6652d9701adfc22719908741ea
33,1764562478.7316098,0.000020878,0.000015448,0.000022341,0.000017182,0.000023143,0.000039192,7014010c0a75663bf4a717056cfe2698d76b68753f96e92b9bb37717cabd479f
34,1764562478.7327435,0.000023223,0.000015188,0.000020197,0.000016791,0.000020348,0.000035476,c67bd11d2cc16cf7ca0168f12898de2f4c9d7332b6409a407a408fa5dfa4c0e0
